PROFILE,STORAGE_SYSTEM,STORAGE_POOL,VOLUME_NAME,VOLUME_SIZE,san_connection_A,san_connection_B,os_host_type,LUN_ID
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_USERDB_MISCLOGS2,100,hba0,hba1,VMware (ESXi)',46
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_SYSTEMDB_MSSQL,20,hba0,hba1,VMware (ESXi)',47
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPDATA1,12,hba0,hba1,VMware (ESXi)',48
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPDATA2,12,hba0,hba1,VMware (ESXi)',49
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPDATA3,12,hba0,hba1,VMware (ESXi)',50
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPDATA4,12,hba0,hba1,VMware (ESXi)',51
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPDATA5,12,hba0,hba1,VMware (ESXi)',52
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPDATA6,12,hba0,hba1,VMware (ESXi)',53
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPDATA7,12,hba0,hba1,VMware (ESXi)',54
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPDATA8,12,hba0,hba1,VMware (ESXi)',55
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPDATA9,12,hba0,hba1,VMware (ESXi)',56
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPDATA10,12,hba0,hba1,VMware (ESXi)',57
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPDATA11,12,hba0,hba1,VMware (ESXi)',58
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPDATA12,12,hba0,hba1,VMware (ESXi)',59
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPDATA13,12,hba0,hba1,VMware (ESXi)',60
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPDATA14,12,hba0,hba1,VMware (ESXi)',61
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPDATA15,12,hba0,hba1,VMware (ESXi)',62
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPDATA16,12,hba0,hba1,VMware (ESXi)',63
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPDATA17,12,hba0,hba1,VMware (ESXi)',64
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPDATA18,12,hba0,hba1,VMware (ESXi)',65
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPDATA19,12,hba0,hba1,VMware (ESXi)',66
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPDATA20,12,hba0,hba1,VMware (ESXi)',67
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TEMPLOG1,100,hba0,hba1,VMware (ESXi)',68
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_TEMPDB_TESTLOG1,1024,hba0,hba1,VMware (ESXi)',69
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_S_USERDB_DATA1,100,hba0,hba1,VMware (ESXi)',70
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_S_USERDB_DATA2,100,hba0,hba1,VMware (ESXi)',71
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_S_USERDB_DATA3,100,hba0,hba1,VMware (ESXi)',72
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_S_USERDB_DATA4,100,hba0,hba1,VMware (ESXi)',73
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_S_USERDB_LOGS1,210,hba0,hba1,VMware (ESXi)',74
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_S_SYSTEMDB_MSSQL,2,hba0,hba1,VMware (ESXi)',75
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_S_TEMPDB_TEMPDATA1,10,hba0,hba1,VMware (ESXi)',76
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_S_TEMPDB_TEMPDATA2,10,hba0,hba1,VMware (ESXi)',77
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_S_TEMPDB_TEMPDATA3,10,hba0,hba1,VMware (ESXi)',78
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_S_TEMPDB_TEMPDATA4,10,hba0,hba1,VMware (ESXi)',79
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_S_TEMPDB_TEMPDATA5,10,hba0,hba1,VMware (ESXi)',80
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_S_TEMPDB_TEMPDATA6,10,hba0,hba1,VMware (ESXi)',81
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_S_TEMPDB_TEMPDATA7,10,hba0,hba1,VMware (ESXi)',82
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_S_TEMPDB_TEMPDATA8,10,hba0,hba1,VMware (ESXi)',83
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_S_TEMPDB_TEMPLOGS1,20,hba0,hba1,VMware (ESXi)',84
,,,,,,,,
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA1,120,hba0,hba1,VMware (ESXi)',7
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA2,120,hba0,hba1,VMware (ESXi)',8
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA3,120,hba0,hba1,VMware (ESXi)',9
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA4,120,hba0,hba1,VMware (ESXi)',10
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA5,120,hba0,hba1,VMware (ESXi)',11
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA6,120,hba0,hba1,VMware (ESXi)',12
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA7,120,hba0,hba1,VMware (ESXi)',13
